Event ID: 0, Int: 0
Parameters: {} ()
      0 Initialize Event (Event ID: 12900064, Slot Number: 0, Arguments: {2901700, 12900100, 2910000, 2910010})
      1 Initialize Event (Event ID: 12900064, Slot Number: 1, Arguments: {2901701, 12900101, 2910000, 2910010})
      2 Initialize Event (Event ID: 12900064, Slot Number: 2, Arguments: {2901702, 12900102, 2910000, 2910010})
      3 Initialize Event (Event ID: 12900064, Slot Number: 3, Arguments: {2901703, 12900103, 2910000, 2910010})
      4 Initialize Event (Event ID: 12901034, Slot Number: 0, Arguments: {12900010, 2903500})
      5 Initialize Event (Event ID: 12901034, Slot Number: 1, Arguments: {12900011, 2903501})
      6 Initialize Event (Event ID: 12901034, Slot Number: 2, Arguments: {12900012, 2903502})
      7 Initialize Event (Event ID: 12901034, Slot Number: 3, Arguments: {12900013, 2903503})
    499 Initialize Event (Event ID: 12905142, Slot Number: 88, Arguments: {2901888, 2906888})
    500 Initialize Event (Event ID: 12905142, Slot Number: 89, Arguments: {2901889, 2906889})
    501 Initialize Event (Event ID: 12905142, Slot Number: 90, Arguments: {2901890, 2906890})
    502 Initialize Event (Event ID: 12905142, Slot Number: 91, Arguments: {2901891, 2906891})
    503 Initialize Event (Event ID: 12905142, Slot Number: 92, Arguments: {2901892, 2906892})
    504 Initialize Event (Event ID: 12905142, Slot Number: 93, Arguments: {2901893, 2906893})
    505 Initialize Event (Event ID: 12905142, Slot Number: 94, Arguments: {2901894, 2906894})
    506 Initialize Event (Event ID: 12905142, Slot Number: 95, Arguments: {2901895, 2906895})
    507 Initialize Event (Event ID: 12905142, Slot Number: 96, Arguments: {2901896, 2906896})
    508 Initialize Event (Event ID: 12905142, Slot Number: 97, Arguments: {2901897, 2906897})
    509 Initialize Event (Event ID: 12905142, Slot Number: 98, Arguments: {2901898, 2906898})
    510 Initialize Event (Event ID: 12905142, Slot Number: 99, Arguments: {2901899, 2906899})
    511 Initialize Event (Event ID: 12905142, Slot Number: 100, Arguments: {2901900, 2906900})
    512 Initialize Event (Event ID: 12905142, Slot Number: 101, Arguments: {2901901, 2906901})
    513 Initialize Event (Event ID: 12905142, Slot Number: 102, Arguments: {2901902, 2906902})
    514 Initialize Event (Event ID: 12905142, Slot Number: 103, Arguments: {2901903, 2906903})
    515 Initialize Event (Event ID: 12905142, Slot Number: 104, Arguments: {2901904, 2906904})
    516 Initialize Event (Event ID: 12905142, Slot Number: 105, Arguments: {2901905, 2906905})
    517 Initialize Event (Event ID: 12905142, Slot Number: 106, Arguments: {2901906, 2906906})
    518 Initialize Event (Event ID: 12905142, Slot Number: 107, Arguments: {2901907, 2906907})
    519 Initialize Event (Event ID: 12905142, Slot Number: 108, Arguments: {2901908, 2906908})
    520 Initialize Event (Event ID: 12905142, Slot Number: 109, Arguments: {2901909, 2906909})
    521 Initialize Event (Event ID: 12905142, Slot Number: 110, Arguments: {2901910, 2906910})
    522 Initialize Event (Event ID: 12905142, Slot Number: 111, Arguments: {2901911, 2906911})
    523 Initialize Event (Event ID: 12905142, Slot Number: 112, Arguments: {2901912, 2906912})
    524 Initialize Event (Event ID: 12905142, Slot Number: 113, Arguments: {2901913, 2906913})
    525 Initialize Event (Event ID: 12905142, Slot Number: 114, Arguments: {2901914, 2906914})
    526 Initialize Event (Event ID: 12905142, Slot Number: 115, Arguments: {2901915, 2906915})
    527 Initialize Event (Event ID: 12905142, Slot Number: 116, Arguments: {2901916, 2906916})
    528 Initialize Event (Event ID: 12905142, Slot Number: 117, Arguments: {2901917, 2906917})
    529 Initialize Event (Event ID: 12905142, Slot Number: 118, Arguments: {2901918, 2906918})
    530 Initialize Event (Event ID: 12905142, Slot Number: 119, Arguments: {2901919, 2906919})
    531 Initialize Event (Event ID: 12905142, Slot Number: 120, Arguments: {2901920, 2906920})
    532 Initialize Event (Event ID: 12905142, Slot Number: 121, Arguments: {2901921, 2906921})
    533 Initialize Event (Event ID: 12905142, Slot Number: 122, Arguments: {2901922, 2906922})
    534 Initialize Event (Event ID: 12905142, Slot Number: 123, Arguments: {2901923, 2906923})
    535 Initialize Event (Event ID: 12905142, Slot Number: 124, Arguments: {2901924, 2906924})
    536 Initialize Event (Event ID: 12905142, Slot Number: 125, Arguments: {2901925, 2906925})
    537 Initialize Event (Event ID: 12905142, Slot Number: 126, Arguments: {2901926, 2906926})
    538 Initialize Event (Event ID: 12905142, Slot Number: 127, Arguments: {2901927, 2906927})
    539 Initialize Event (Event ID: 12905142, Slot Number: 128, Arguments: {2901928, 2906928})
    540 Initialize Event (Event ID: 12905142, Slot Number: 129, Arguments: {2901929, 2906929})
    541 Initialize Event (Event ID: 12905142, Slot Number: 130, Arguments: {2901930, 2906930})
    542 Initialize Event (Event ID: 12905142, Slot Number: 131, Arguments: {2901931, 2906931})
    543 Initialize Event (Event ID: 12905142, Slot Number: 132, Arguments: {2901932, 2906932})
    544 Initialize Event (Event ID: 12905142, Slot Number: 133, Arguments: {2901933, 2906933})
    545 Initialize Event (Event ID: 12905142, Slot Number: 134, Arguments: {2901934, 2906934})
    546 Initialize Event (Event ID: 12905142, Slot Number: 135, Arguments: {2901935, 2906935})
    547 Initialize Event (Event ID: 12905142, Slot Number: 136, Arguments: {2901936, 2906936})
    548 Initialize Event (Event ID: 12905142, Slot Number: 137, Arguments: {2901937, 2906937})
    549 Initialize Event (Event ID: 12905142, Slot Number: 138, Arguments: {2901938, 2906938})
    550 Initialize Event (Event ID: 12905142, Slot Number: 139, Arguments: {2901939, 2906939})


String Table:
0: N:\SPRJ\data\Param\event\m29.emevd
70: 
72: 
74: 
76: 
78: 



Linked .emevd Files:
N:\SPRJ\data\Param\event\m29.emevd
